,Month,REFERENCE RATE : US DOLLAR  (USD) ,USA : DOLLAR (USD) ,      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,UNITED KINGDOM : POUND STERING (GBP),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,EURO ZONE : EURO (EUR),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,JAPAN : YEN (100 YEN) (JPY) ,      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,HONG KONG : DOLLAR (HKD),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,MALAYSIA : RINGGIT (MYR),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,SINGAPORE : DOLLAR (SGD),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,BRUNEI : DOLLAR (BND) ,      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,PHILIPPINES : PESO (PHP) ,      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,INDONESIA : RUPIAH (1000 RUPIAH) (IDR),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,INDIA : RUPEE (INR),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,SWITZERLAND : FRANC (CHF) ,      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,AUSTRALIA : DOLLAR (AUD) ,      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,NEW ZEALAND : DOLLAR (NZD),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,CANADA : DOLLAR (CAD),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,SWEDEN : KRONA (SEK),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,DENMARK : KRONE (DKK) ,      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,NORWAY : KRONE (NOK),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE ,CHINA : YUAN RENMINBI (CNY),      BUYING SIGHT ,      BUYING TRANSFER,      SELLING ,      MID RATE 
DEC 2019,,30.2228,,29.9565,30.047,30.3996,30.2233,,39.0108,39.1582,40.024,39.5911,,33.0892,33.1985,33.909,33.5538,,27.1982,27.3,28.0454,27.6727,,3.8182,3.8351,3.9133,3.8742,,7.1313,7.1794,7.3937,7.2865,,21.9223,22.0012,22.5386,22.27,,21.7767,21.9285,22.6141,22.2713,,0.5806,0.5845,0.6077,0.5961,,2.003,2.06,2.2844,2.1722,,0.3769,0.3963,0.4558,0.4261,,30.2782,30.3779,31.0295,30.7037,,20.3211,20.3954,21.1471,20.7713,,19.5176,19.5957,20.1935,19.8946,,22.5695,22.6555,23.181,22.9183,,3.1493,3.1651,3.241,3.2031,,4.4244,4.4428,4.5405,4.4917,,3.289,3.3032,3.3859,3.3446,,4.2214,4.2518,4.3663,4.309
NOV 2019,,30.2439,,29.9758,30.0667,30.4195,30.2431,,38.4081,38.5553,39.4168,38.9861,,32.9485,33.0603,33.7745,33.4174,,27.3045,27.4118,28.1673,27.7896,,3.8075,3.8245,3.903,3.8638,,7.1179,7.1672,7.3805,7.2739,,21.8656,21.9448,22.4855,22.2152,,21.7281,21.871,22.5627,22.2169,,0.5819,0.5855,0.6086,0.5971,,1.997,2.0556,2.2791,2.1674,,0.3746,0.3938,0.4557,0.4248,,30.0266,30.1285,30.7834,30.456,,20.1809,20.2546,21.0155,20.6351,,18.9643,19.0416,19.6381,19.3399,,22.4878,22.5736,23.1038,22.8387,,3.0827,3.0986,3.1738,3.1362,,4.4055,4.4242,4.5225,4.4734,,3.2489,3.2634,3.346,3.3047,,4.2178,4.2487,4.3653,4.307
OCT 2019,,30.3665,,30.1028,30.1935,30.5414,30.3675,,37.7279,37.8749,38.7342,38.3046,,33.0546,33.1658,33.8803,33.5231,,27.6063,27.711,28.4594,28.0853,,3.8178,3.8346,3.9124,3.8735,,7.1027,7.1486,7.3601,7.2544,,21.7988,21.8771,22.4135,22.1453,,21.6731,21.802,22.4929,22.1475,,0.5755,0.5791,0.6024,0.5908,,2.001,2.0554,2.275,2.1652,,0.3804,0.3996,0.4589,0.4293,,30.1218,30.2236,30.8706,30.5471,,20.1543,20.225,20.9889,20.607,,18.8445,18.9213,19.5161,19.2187,,22.6479,22.7337,23.257,22.9954,,3.0512,3.0674,3.1412,3.1043,,4.4215,4.4405,4.5378,4.4892,,3.2633,3.2776,3.3591,3.3184,,4.1886,4.2194,4.3358,4.2776
SEP 2019,,30.5704,,30.3136,30.4023,30.745,30.5737,,37.1879,37.3294,38.1739,37.7517,,33.1884,33.298,33.9983,33.6482,,27.9808,28.0843,28.8216,28.453,,3.8481,3.8649,3.9398,3.9023,,7.1533,7.2002,7.4138,7.307,,21.81,21.8869,22.4166,22.1518,,21.6727,21.8102,22.5025,22.1564,,0.5726,0.5763,0.5992,0.5877,,2.0082,2.0672,2.2925,2.1799,,0.3792,0.3998,0.4602,0.43,,30.4413,30.5384,31.1638,30.8511,,20.3388,20.4102,21.1648,20.7875,,19.0049,19.0805,19.6758,19.3782,,22.7339,22.8181,23.316,23.0671,,3.0939,3.1107,3.1825,3.1467,,4.4452,4.4629,4.5555,4.5092,,3.3383,3.3522,3.4307,3.3915,,4.2108,4.2393,4.3523,4.2958
AUG 2019,,30.768,,30.5076,30.5978,30.9412,30.7695,,36.8405,36.9838,37.8328,37.4083,,33.7454,33.8565,34.5675,34.212,,28.4544,28.5616,29.3199,28.9407,,3.8706,3.8874,3.9639,3.9257,,7.1974,7.2433,7.4574,7.3504,,21.8781,21.9553,22.4879,22.2216,,21.7486,21.8797,22.5761,22.228,,0.5757,0.5793,0.6026,0.591,,2.0034,2.0616,2.2899,2.1758,,0.3827,0.4028,0.4654,0.4342,,30.9764,31.0728,31.7325,31.4027,,20.3577,20.4278,21.203,20.8155,,19.4048,19.4808,20.0818,19.7813,,22.8301,22.9146,23.4375,23.1761,,3.1357,3.1524,3.2253,3.1889,,4.5215,4.5394,4.6344,4.5869,,3.3779,3.3919,3.4721,3.432,,4.2671,4.2962,4.4114,4.3538
JUL 2019,,30.7927,,30.5316,30.6224,30.9648,30.7936,,37.8959,38.0406,38.8914,38.466,,34.091,34.2023,34.9104,34.5564,,27.976,28.0821,28.828,28.4551,,3.8885,3.9055,3.9823,3.9439,,7.3139,7.3598,7.5736,7.4668,,22.2893,22.3676,22.9035,22.6356,,22.1626,22.2916,22.989,22.6403,,0.5875,0.5912,0.6147,0.603,,2.034,2.0926,2.3126,2.2026,,0.399,0.4183,0.4813,0.4498,,30.7594,30.8571,31.5098,31.1835,,21.0389,21.1135,21.8841,21.4988,,20.192,20.2697,20.8737,20.5717,,23.1592,23.2447,23.7695,23.5071,,3.2203,3.2373,3.311,3.2742,,4.5643,4.5822,4.6779,4.6301,,3.5234,3.5376,3.6193,3.5785,,4.3874,4.4182,4.5328,4.4755
JUN 2019,,31.1251,,30.8641,30.9547,31.2941,31.1244,,38.8958,39.0397,39.8888,39.4643,,34.6763,34.7868,35.496,35.1414,,28.3211,28.4279,29.1747,28.8013,,3.9232,3.9398,4.0187,3.9793,,7.3275,7.3742,7.5882,7.4812,,22.4995,22.5784,23.1204,22.8494,,22.3708,22.5007,23.1867,22.8437,,0.5868,0.5904,0.6141,0.6023,,2.0264,2.0862,2.31,2.1981,,0.3961,0.4169,0.4822,0.4496,,31.0619,31.1583,31.8027,31.4805,,21.1333,21.2045,21.9852,21.5949,,20.1419,20.2193,20.8232,20.5213,,23.0732,23.1576,23.6676,23.4126,,3.2537,3.2708,3.3428,3.3068,,4.6421,4.6601,4.7539,4.707,,3.5514,3.5655,3.6451,3.6054,,4.4188,4.4493,4.5639,4.5066
MAY 2019,,31.7958,,31.5346,31.6256,31.9615,31.7936,,40.2744,40.4207,41.2637,40.8422,,35.0933,35.2037,35.9038,35.5538,,28.4317,28.538,29.2802,28.9091,,3.9975,4.0141,4.0902,4.0522,,7.4724,7.5171,7.7302,7.6237,,22.8451,22.924,23.4642,23.1942,,22.718,22.8444,23.5367,23.1905,,0.5935,0.5974,0.6211,0.6093,,2.0542,2.1129,2.3282,2.2205,,0.4043,0.4253,0.4889,0.4571,,31.0327,31.1272,31.7755,31.4514,,21.5929,21.6649,22.4443,22.0546,,20.4575,20.5347,21.1428,20.8388,,23.2732,23.3568,23.8734,23.6151,,3.2583,3.2749,3.3471,3.311,,4.6975,4.7153,4.8099,4.7626,,3.5822,3.5963,3.6764,3.6364,,4.5416,4.572,4.6863,4.6292
APR 2019,,31.8596,,31.5897,31.68,32.0177,31.8489,,40.9147,41.0635,41.9076,41.4856,,35.2856,35.3978,36.101,35.7494,,28.057,28.1643,28.8954,28.5299,,4.0057,4.0226,4.0983,4.0605,,7.5881,7.6347,7.8507,7.7427,,23.1367,23.2163,23.7602,23.4882,,22.9831,23.1495,23.8364,23.4929,,0.5966,0.6006,0.6241,0.6124,,2.0946,2.1529,2.3793,2.2661,,0.4094,0.4289,0.4924,0.4607,,31.1629,31.2595,31.9074,31.5835,,22.1598,22.2326,23.0057,22.6192,,20.9925,21.0717,21.6799,21.3758,,23.4562,23.5406,24.0582,23.7994,,3.36,3.3768,3.4512,3.4141,,4.7243,4.7421,4.8379,4.7901,,3.662,3.6761,3.7583,3.7172,,4.6508,4.6814,4.7965,4.739
MAR 2019,,31.7285,,31.4651,31.5552,31.8907,31.7229,,41.2426,41.3903,42.239,41.8147,,35.3927,35.5037,36.2078,35.8558,,28.0639,28.1683,28.9008,28.5346,,3.9876,4.0043,4.0802,4.0423,,7.6254,7.6698,7.889,7.7794,,23.0823,23.1617,23.7068,23.4342,,22.9388,23.0921,23.7804,23.4363,,0.5905,0.5942,0.6175,0.6059,,2.0748,2.1341,2.3579,2.246,,0.411,0.4282,0.4867,0.4575,,31.285,31.3784,32.0346,31.7065,,21.982,22.0541,22.8333,22.4437,,21.2776,21.3586,21.9671,21.6629,,23.3955,23.4776,23.998,23.7378,,3.362,3.3792,3.4522,3.4157,,4.7412,4.7592,4.8537,4.8065,,3.6349,3.6489,3.7293,3.6891,,4.6351,4.6654,4.7807,4.7231
